@RELATION heartbeats
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {artifact__,Aunlabelledtest__,Bunlabelledtest__,extrahls__,extrastole__,murmur__,murmur_noisymurmur_,normal__,normal_noisynormal_}

@DATA
0.344616,0.000383,2.917720,0.342816,0.297232,1.964933,0.003035,0.581967,-38.820959,0.939223,0.048402,0.080764,-0.112891,-0.051401,-0.061492,-0.070719,-0.036596,-0.029914,-0.056769,-0.037917,-0.060080,0.011316,0.004198,0.014477,0.009493,0.012879,0.006782,0.014417,0.002441,0.005602,0.010765,0.012619,0.004505,0.007102,-0.000421,-0.000000,0.004640,0.000068,-0.000036,0.000819,0.000005,0.000449,-0.002584,-0.012034,-0.005410,0.002736,-0.002980,-0.000295,-0.001631,-0.002345,-0.001182,-0.004449,0.000080,0.000877,0.001923,-0.000093,-0.000015,-0.000103,-0.000026,-0.000099,0.000012,-0.000138,-0.000011,-0.000037,-0.000113,-0.000140,-0.000020,-0.000046,0.087630,0.001544,0.580851,0.075512,0.030253,0.818300,0.004052,0.290080,2.313210,0.936482,0.380884,0.269209,0.239040,0.174142,0.164093,0.160330,0.152599,0.163095,0.169720,0.158081,0.138682,0.008529,0.003672,0.012800,0.009168,0.011669,0.005404,0.011956,0.001583,0.004274,0.009889,0.011268,0.004042,0.005635,0.072553,0.002150,0.780922,0.071486,0.028510,0.814197,0.004999,0.294177,1.967893,0.977932,0.404450,0.302826,0.280915,0.231057,0.218558,0.202082,0.207488,0.210070,0.202436,0.218426,0.189462,0.011617,0.004836,0.016481,0.010830,0.014070,0.006163,0.014496,0.002138,0.005252,0.012021,0.013914,0.004718,0.006626,artifact__
0.491634,0.002133,3.202555,0.526535,0.242055,1.532526,0.001385,0.610894,-34.606284,0.386778,-0.334657,0.065396,-0.076601,-0.076601,-0.119824,-0.022009,-0.085688,-0.039789,-0.024101,0.003000,-0.033219,0.006320,0.003322,0.007889,0.006730,0.006190,0.005812,0.008093,0.003473,0.004589,0.004705,0.005140,0.003680,0.003646,-0.002685,0.000001,-0.000072,-0.002616,0.000722,0.001571,0.000006,-0.003020,0.082420,-0.001015,-0.004181,0.000242,0.000449,-0.001666,0.001346,0.001173,0.000373,0.000026,0.001500,0.001771,-0.000128,0.000037,0.000026,0.000017,0.000061,0.000024,0.000028,0.000039,0.000005,0.000027,0.000021,0.000031,0.000015,0.000011,0.056331,0.004390,0.124308,0.045389,0.014898,0.269850,0.000543,0.090771,1.610682,0.407698,0.202551,0.151747,0.147134,0.164946,0.148906,0.137584,0.138035,0.147860,0.129910,0.139546,0.127879,0.004362,0.002169,0.006030,0.005464,0.004837,0.004792,0.005761,0.003082,0.003448,0.003468,0.003232,0.002224,0.002400,0.031570,0.003398,0.168750,0.026735,0.010696,0.215830,0.000452,0.068893,0.892479,0.355596,0.246201,0.191736,0.210766,0.205847,0.205695,0.193051,0.196355,0.207932,0.177934,0.198046,0.183062,0.005392,0.002772,0.006071,0.006231,0.005409,0.005522,0.006720,0.004139,0.004978,0.004485,0.003798,0.002602,0.002293,artifact__
0.302140,0.001505,3.165566,0.325709,0.273507,2.160367,0.000938,0.520705,-28.767813,0.293301,-0.514427,-0.115963,-0.131392,-0.070759,-0.114642,-0.018180,-0.059534,-0.075372,-0.072446,-0.030937,-0.014906,0.006769,0.004796,0.007334,0.006296,0.006687,0.006211,0.006922,0.003908,0.004545,0.005324,0.006535,0.005053,0.002922,0.000048,-0.000000,-0.000297,0.000012,-0.000094,0.001991,0.000004,-0.000368,-0.002410,-0.000778,0.001028,-0.002075,-0.000188,0.001914,-0.000485,-0.001638,0.000110,0.000046,-0.001127,0.000666,0.000635,-0.000025,0.000010,0.000015,-0.000060,0.000003,-0.000030,-0.000018,-0.000003,0.000020,-0.000008,-0.000001,-0.000008,-0.000013,0.046611,0.001991,0.174958,0.033679,0.022087,0.314822,0.000264,0.139495,1.467958,0.332380,0.194445,0.160146,0.157824,0.159361,0.145315,0.169419,0.146678,0.144528,0.127663,0.145381,0.133991,0.003958,0.002754,0.003529,0.003462,0.003692,0.003193,0.003127,0.002535,0.002563,0.002601,0.002917,0.003088,0.001046,0.034946,0.001691,0.245104,0.025134,0.017690,0.275720,0.000283,0.112268,0.867395,0.357464,0.231744,0.224324,0.218177,0.235445,0.214872,0.223862,0.196457,0.205794,0.182195,0.196807,0.188491,0.005463,0.003841,0.004814,0.004425,0.005512,0.004391,0.004469,0.003463,0.003724,0.003845,0.004051,0.004166,0.001316,artifact__
0.060115,0.000393,2.990678,0.147224,0.182895,0.575556,0.005179,0.106675,-29.332646,1.836473,-0.356314,-0.341508,-0.306669,-0.131597,-0.276631,-0.034671,-0.149728,-0.145051,-0.164881,-0.075113,-0.136942,0.016841,0.007595,0.023261,0.017001,0.021065,0.013819,0.019380,0.005466,0.010671,0.013698,0.016948,0.010439,0.013982,-0.000365,0.000000,0.001551,-0.000949,-0.000450,-0.009255,0.000054,-0.001341,0.000930,0.011393,-0.000028,0.000978,0.001492,0.001676,0.003124,0.002974,-0.002261,-0.001332,0.000770,0.003539,0.001243,0.000027,-0.000001,0.000019,0.000002,0.000073,0.000011,0.000020,-0.000002,0.000063,0.000281,-0.000024,-0.000004,0.000039,0.025830,0.000595,0.364178,0.041574,0.027956,0.418260,0.003123,0.084760,1.277704,0.659378,0.392739,0.295948,0.278570,0.221755,0.217532,0.208700,0.203521,0.172969,0.194998,0.166761,0.164817,0.014731,0.006296,0.017651,0.014891,0.022828,0.012100,0.015869,0.006000,0.009747,0.011941,0.014697,0.010018,0.007815,0.019812,0.000692,0.504322,0.048951,0.030688,0.458439,0.003251,0.098044,1.261300,0.680455,0.387967,0.337300,0.329570,0.258789,0.259305,0.246780,0.238117,0.206279,0.226376,0.216503,0.212973,0.018165,0.008448,0.024403,0.017602,0.029154,0.014507,0.021153,0.008432,0.011380,0.016572,0.017756,0.012551,0.009260,artifact__
0.101407,0.001661,3.002484,0.202258,0.252911,0.644788,0.002976,0.137190,-29.635063,1.643429,-0.258636,0.134528,-0.332742,-0.115321,-0.252772,-0.208723,-0.099876,-0.170476,0.019595,-0.065991,-0.168152,0.020416,0.008986,0.020583,0.016841,0.022706,0.017499,0.022603,0.004599,0.009483,0.013920,0.014670,0.008960,0.013179,0.000204,-0.000000,-0.000178,0.000271,0.000279,0.001986,0.000013,0.000066,-0.001356,-0.000125,0.003710,-0.000391,-0.000110,-0.002553,-0.000554,0.000296,0.001921,0.001601,-0.000085,-0.001469,-0.000009,0.000015,-0.000005,0.000234,-0.000016,-0.000473,-0.000093,0.000006,-0.000043,0.000038,0.000026,-0.000001,0.000090,-0.000095,0.043709,0.004062,0.353372,0.055698,0.034541,0.381558,0.001347,0.125005,1.648087,0.436620,0.309949,0.241941,0.247593,0.250274,0.195318,0.188117,0.189141,0.165005,0.177657,0.157534,0.152187,0.013822,0.006427,0.013361,0.013621,0.018469,0.014462,0.013792,0.004727,0.006500,0.008599,0.010372,0.008346,0.005357,0.041250,0.005477,0.475601,0.051640,0.032567,0.373883,0.001512,0.137378,1.586719,0.520479,0.368730,0.274941,0.292614,0.287824,0.244297,0.250979,0.224361,0.201395,0.230713,0.209969,0.184938,0.018677,0.008675,0.017516,0.017314,0.023139,0.018222,0.019034,0.005480,0.009231,0.011361,0.014136,0.011372,0.007179,artifact__
0.449919,0.007446,3.217420,0.479315,0.178594,1.238838,0.002331,0.570170,-35.585935,0.548148,0.221281,0.323266,0.002336,0.115926,-0.075369,-0.037228,-0.176950,-0.103956,-0.118250,0.028827,-0.067308,0.026869,0.001216,0.011662,0.005889,0.014319,0.009573,0.011273,0.001510,0.002575,0.007492,0.012466,0.001382,0.010910,-0.003589,0.000113,-0.000287,-0.003661,-0.000344,-0.004667,0.000019,-0.004552,0.131562,0.007244,0.005459,0.000215,0.001411,0.000542,0.001413,-0.003054,-0.000556,-0.001696,0.000559,-0.000681,0.000352,0.000244,0.000000,0.000027,0.000026,0.000035,0.000052,0.000052,-0.000004,0.000033,0.000032,0.000107,0.000012,0.000052,0.039568,0.002656,0.068623,0.036155,0.008822,0.130385,0.000752,0.047358,1.218741,0.202826,0.166509,0.153207,0.169556,0.154896,0.145209,0.141441,0.132985,0.132105,0.138224,0.136191,0.136889,0.024683,0.001201,0.008873,0.004698,0.006418,0.008031,0.006629,0.001129,0.001827,0.005976,0.008823,0.001007,0.005128,0.025372,0.002654,0.091861,0.023781,0.009736,0.112149,0.000844,0.031749,0.811066,0.213260,0.199242,0.197616,0.207380,0.209894,0.197980,0.188242,0.175265,0.184496,0.194136,0.184347,0.192186,0.030892,0.001258,0.011017,0.007152,0.009955,0.011005,0.008500,0.001554,0.002343,0.008611,0.012549,0.001255,0.006401,artifact__
0.291324,0.000245,3.120668,0.344025,0.234988,1.302374,0.001698,0.378403,-35.040988,0.520014,-0.345037,-0.063110,-0.369477,-0.051284,-0.167579,0.042313,-0.135072,-0.049211,-0.074914,-0.008243,-0.061230,0.010302,0.006384,0.009925,0.009819,0.011437,0.008790,0.009810,0.003755,0.006101,0.007396,0.008650,0.005960,0.005181,-0.000570,0.000040,-0.002434,-0.000765,-0.000757,-0.003177,0.000018,-0.000343,0.041288,0.001693,-0.005380,-0.001085,0.000911,0.000499,-0.001432,-0.000365,-0.000987,-0.000459,-0.000183,0.000876,0.001777,0.000001,0.000036,0.000038,0.000017,0.000028,0.000035,0.000036,0.000004,-0.000037,-0.000036,-0.000057,-0.000096,0.000004,0.072040,0.000433,0.285246,0.068196,0.023251,0.269970,0.000596,0.094973,2.577832,0.344017,0.224782,0.156710,0.227303,0.179238,0.172361,0.168074,0.152352,0.132137,0.131132,0.130028,0.127870,0.006256,0.005004,0.005717,0.005650,0.004810,0.005423,0.004886,0.002643,0.004263,0.004421,0.005054,0.004082,0.001622,0.041698,0.000575,0.403981,0.038952,0.018217,0.245764,0.000667,0.065345,1.421692,0.395483,0.299051,0.212930,0.298503,0.253337,0.246689,0.241287,0.224411,0.186118,0.183493,0.183676,0.177223,0.008600,0.007019,0.007873,0.007100,0.006762,0.007408,0.006351,0.003943,0.005810,0.005847,0.006493,0.005593,0.002266,artifact__
0.047726,0.030259,2.615525,0.128942,0.191317,0.389138,0.007599,0.062255,-28.586123,2.547748,0.279987,0.331148,0.172285,0.033070,0.000278,-0.101035,-0.014058,-0.086167,-0.019999,-0.057455,-0.022415,0.021802,0.003644,0.041089,0.015080,0.034866,0.012170,0.037687,0.001451,0.005549,0.025705,0.033380,0.003853,0.020122,-0.000265,-0.000002,0.007125,0.000058,0.000371,-0.001922,0.000063,-0.000005,-0.013375,0.002601,-0.005147,-0.001291,-0.004375,0.001096,-0.003486,0.003229,-0.003699,0.000732,-0.002892,-0.002362,0.000359,0.000123,-0.000001,-0.000012,0.000071,-0.000203,0.000209,-0.000079,0.000000,0.000013,-0.000039,0.000092,-0.000002,0.000007,0.024422,0.031448,0.471295,0.039556,0.037329,0.311055,0.004197,0.051566,2.594047,0.694695,0.330811,0.302360,0.280840,0.216102,0.192620,0.199525,0.179850,0.158774,0.145652,0.133477,0.143378,0.016967,0.003081,0.021362,0.011548,0.022483,0.011550,0.021070,0.001333,0.003942,0.019706,0.017081,0.002837,0.006176,0.025469,0.022402,0.669880,0.042794,0.044299,0.364464,0.004504,0.066394,2.660037,0.790666,0.415945,0.408556,0.335838,0.268275,0.233921,0.257072,0.237759,0.224027,0.187718,0.182337,0.207540,0.023490,0.004448,0.028620,0.015716,0.028628,0.014873,0.028787,0.002040,0.005605,0.025948,0.022491,0.003839,0.008001,artifact__
0.147134,0.000321,2.887257,0.202501,0.220687,0.988590,0.002645,0.255293,-31.453180,1.601655,-0.457329,-0.348064,-0.427356,-0.171306,-0.119230,-0.078204,-0.248670,-0.148976,-0.069339,0.026204,0.009006,0.013767,0.006827,0.017264,0.012280,0.010794,0.014675,0.041933,0.003878,0.008847,0.006722,0.010509,0.006049,0.012822,-0.001399,0.000000,-0.001376,-0.000559,-0.000500,-0.003558,0.000033,-0.003594,0.013642,-0.006141,-0.000517,0.002277,-0.000545,0.001797,0.002042,0.001792,0.000558,0.000422,0.001735,0.000492,0.000575,-0.000052,0.000010,0.000003,0.000045,-0.000012,-0.000132,0.000161,-0.000001,0.000024,0.000019,0.000049,-0.000027,0.000026,0.039070,0.000494,0.441948,0.035216,0.022138,0.382874,0.001302,0.124901,1.337579,0.444528,0.274375,0.246024,0.213403,0.155849,0.156253,0.142244,0.139701,0.136646,0.145001,0.138062,0.138467,0.008818,0.005033,0.010115,0.007476,0.006197,0.010991,0.020991,0.002775,0.004976,0.003926,0.005635,0.003875,0.005425,0.038373,0.000653,0.608534,0.041207,0.024466,0.425499,0.001322,0.149923,1.347583,0.507714,0.325030,0.328092,0.278493,0.208572,0.210355,0.183084,0.184136,0.203333,0.196491,0.185624,0.195614,0.012430,0.007333,0.014117,0.010477,0.008588,0.015329,0.024035,0.004301,0.006244,0.005827,0.007481,0.005713,0.006670,artifact__
0.160579,0.144049,3.261151,0.263342,0.235042,1.902863,0.001105,0.312482,-20.466593,0.140700,-0.121191,-0.107314,-0.107983,-0.019799,0.052519,0.015470,-0.093909,-0.047878,-0.039558,0.042232,-0.035830,0.005878,0.004499,0.009666,0.006306,0.007323,0.006362,0.010576,0.004036,0.005291,0.005406,0.007052,0.003874,0.003667,-0.000134,0.000931,0.000230,0.000206,0.000288,0.000117,0.000004,0.000212,0.030614,-0.000640,-0.000143,0.001882,0.001285,0.001983,-0.000632,0.001745,0.002018,0.002300,0.001032,0.000881,0.000707,0.000010,-0.000002,0.000027,0.000035,0.000001,0.000028,-0.000028,-0.000008,-0.000015,-0.000008,0.000016,0.000008,0.000001,0.028243,0.027089,0.071417,0.027393,0.017065,0.252160,0.000266,0.058321,1.017904,0.306563,0.235275,0.188767,0.188325,0.157438,0.161918,0.158272,0.144307,0.135309,0.129683,0.154801,0.146366,0.003001,0.002733,0.004737,0.003807,0.004059,0.003669,0.005373,0.002344,0.002753,0.002372,0.003328,0.001870,0.001589,0.023051,0.018878,0.087204,0.022150,0.014031,0.220077,0.000245,0.050909,0.398083,0.291834,0.252648,0.235024,0.231060,0.193286,0.189474,0.200904,0.197256,0.188067,0.200069,0.213048,0.202690,0.003786,0.003783,0.006168,0.005289,0.005777,0.004264,0.005967,0.003310,0.003809,0.003304,0.003829,0.002681,0.001741,artifact__
